barcode,订单,在途库存,仓库
6934395000601,RD201812070081,1000,0001
2659981035,RD201812070110,2,0001
2659982035,RD201812070110,2,0001
6922560242420,RD201812070126,226,0001
6922560242420,RD201812070138,45,0001
6922560242437,RD201812070138,1,0001
6955150400672,RD201812070144,767,0001
YJBOX000003,RD201812080009,25,0001
YJBOX000004,RD201812080009,5,0001
YJBOX000005,RD201812080009,695,0001
YJBOX000006,RD201812080009,625,0001
YJBOX000007,RD201812080009,1630,0001
YJBOX000008,RD201812080009,90,0001
YJBOX000012,RD201812080009,290,0001
YJBOX000024,RD201812080009,45,0001
6971550270035,RD201812080036,8,0001
6947235501121,RD201812090003,12,0001
6957411101540,RD201812090008,1,0001
2803H003C,RD201812090009,18,0001
2803L003B,RD201812090009,1,0001
2803L003C,RD201812090009,1,0001
6957929913369,RD201812090011,520,0001
6971384086734,RD201812100013,68,0001
6971385890217,RD201812100023,8,0001
6956741704674,RD201812100029,5,0001
6956741704667,RD201812100031,150,0001
6956741704674,RD201812100034,150,0001
6956741704629,RD201812100035,4,0001
6956741704636,RD201812100035,21,0001
6956741704667,RD201812100035,40,0001
6956741704674,RD201812100035,20,0001
6970203840502,RD201812050124,1,0001
YJBOX000008,RD201812100037,199,0001
6940971212610,RD201812100052,881,0001
6940971213969,RD201812100052,1300,0001
6921761838869,RD201812100053,2,0001
6970313751309,RD201812100075,4,0001
6970313751309,RD201812100080,3,0001
6947235501121,RD201812100073,2,0001
OM18FA206JS10567932,RD201812100084,1,0001
6949602315195,RD201812100098,5,0001
6949602312880,RD201812100099,3,0001
6949602315195,RD201812100100,4,0001
6949602315188,RD201812100103,1,0001
6971135300553,RD201812100130,2,0001
6921761838869,RD201812110024,1,0001
6901236387580,RD201812110042,4,0001
6936863100028,RD201812110049,1,0001
6940090505938,RD201812110055,24,0001
6971063860280,RD201812110056,4,0001
5060539051015,RD201812110062,24,0001
6920174743135,RD201812110065,4,0001
6951439947234,RD201812110069,2,0001
6920174752106,RD201812110080,9,0001
6920174764086,RD201812110080,2,0001
6948195807384,RD201812110086,300,0001
6948195807384,RD201812110088,500,0001
6948195807384,RD201812110090,200,0001
J5498458295656,RD201812110106,351,0001
6903244370967,RD201812110108,1560,0001
6903244370950,RD201812110109,3,0001
6903244370967,RD201812110109,15000,0001
6923309868826,RD201812110111,301,0001
6923309868833,RD201812110111,2,0001
6923309868840,RD201812110111,10,0001
6923309868857,RD201812110111,133,0001
6923309868864,RD201812110111,36,0001
6907992513065,RD201812110120,7,0001
6907992513065,RD201812110121,1,0001
6907992513065,RD201812110122,3,0001
6949123362296,RD201812110116,480,0001
8809502182236,RD201812120021,100,0001
8809502181826,RD201812120024,3,0001
8809502182236,RD201812120025,13,0001
6924864675867,RD201812120027,30,0001
6924864675904,RD201812120027,1,0001
6924864675928,RD201812120027,30,0001
6924864675973,RD201812120027,30,0001
6924864675980,RD201812120027,30,0001
6924864676086,RD201812120027,30,0001
6924864676093,RD201812120027,2,0001
6824864676006,RD201812120027,1,0001
HYB0180013001,RD201812120027,30,0001
6951439947234,RD201812120036,19,0001
6949602315201,RD201812120037,25,0001
6949602315201,RD201812120039,3,0001
6949195390197,RD201812120044,1,0001
6949195390210,RD201812120044,1,0001
6949195390234,RD201812120044,171,0001
6949195390272,RD201812120044,52,0001
6949195390289,RD201812120044,1,0001
6949195390241,RD201812120044,71,0001
6949195390258,RD201812120044,1400,0001
6949195390715,RD201812120047,41,0001
6949195390722,RD201812120047,1,0001
6949195390746,RD201812120047,9,0001
6923644282028,RD201812120050,1,0001
6923410753998,RD201812120083,1,0001
6970506721102,RD201812120085,5,0001
6935768936404,RD201812120088,12,0001
6935768936428,RD201812120088,678,0001
6935768936466,RD201812120088,564,0001
6935768936473,RD201812120088,846,0001
6935768936480,RD201812120088,822,0001
4896688004234,RD201812120108,2,0001
6928471300778,RD201812120127,48,0001
YJBOX000009,RD201812130009,125,0001
YJBOX000010,RD201812130009,32,0001
4003583190256,RD201812130011,2,0001
YJBOX000013,RD201812130012,3770,0001
6949602315201,RD201812130019,13,0001
6921971900820,RD201812130020,27,0001
